"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Aruba","ABW","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","23293.0374116156","25004.1719146977","25643.0836842704","26515.8902581958","27695.5448553791","27690.0913270057","27541.5491614996","29223.2368822152","29508.8622671102","29716.8343112066","32026.9727415196","31064.3556476532","29847.9283520918","30356.0452745934","33050.9033772923","34051.4928047902","35168.5614695776","36619.588029091","37247.9805023973","33553.8820015977","32625.4926908747","34324.7993588886","33567.5500169846","36829.0327743518","36779.429429343","37311.7503195981","37585.0250792115","38897.122666275","","","","",
"Africa Eastern and Southern","AFE","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1855.74663998526","1867.26153205439","1823.19983737466","1813.34399199021","1837.03077507219","1907.75550809494","1996.38855254642","2052.78460762378","2060.43750472849","2094.51636207737","2159.39962534988","2229.73918805131","2293.76099351978","2350.92077580096","2484.68831498153","2651.03845111364","2837.03348424991","3027.82102501785","3142.99611733142","3109.60512430931","3217.66015856683","3323.27201407333","3237.87065825646","3365.68297673587","3503.69938272761","3533.23081924489","3627.29434796082","3702.39068536008","3791.87540747989","3842.57851067034","3684.56262313758","",
"Afghanistan","AFG","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","877.01426830392","927.857548047018","925.441429176842","1023.05174932878","1077.76153966077","1228.70386342946","1272.57297477768","1519.69292278438","1710.57541109225","1699.48811019742","1914.77422837964","2015.51477466948","2069.42402167356","2087.30532306683","1981.11806850696","2058.4002210698","2082.63564821362","2152.3664894209","2078.64861450906","",
"Africa Western and Central","AFW","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1730.7115203988","1763.35459517979","1801.29161656193","1776.37352134758","1763.9069722774","1790.67112685718","1858.69302008435","1921.69039946658","1960.06154167227","1965.69011719106","2027.39936974128","2123.11956183358","2298.88600746148","2405.56387496919","2596.23409700437","2757.79210148405","2912.19546241924","3066.93398516866","3230.71908428466","3359.36265521762","3532.1429859982","3675.39244102587","3772.32380201759","4013.19652314325","4208.73177986288","4139.32336449764","4069.00566669605","4115.64548016502","4231.8157735629","4335.19954736606","4242.11448887284","",
"Angola","AGO","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3279.22212168333","3311.77645207868","3086.56511625428","2325.18727026949","2330.24281167317","2649.36112085334","2966.383322399","3136.51628626983","3215.10561889009","3226.1281422107","3289.40954946819","3389.19696691951","3785.1503220062","3838.7950524777","4225.4679269176","4837.70982676046","5362.01984289893","6050.61055453052","6607.29163426752","6470.67524420331","6587.98693898257","6710.75062298751","7412.96703464311","7682.47538648506","8179.29782812609","7337.56982204938","7103.22643061091","7310.89658895511","7099.97195809928","6952.41936236851","6445.43287270595","",
"Albania","ALB","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2548.11243689941","1908.09530432666","1822.33476086485","2056.37308669894","2288.6759563705","2664.37301811108","2978.50845068672","2717.6443480695","3021.04157736341","3471.66150890924","3860.80462705845","4299.54649293767","4661.40269532788","5000.04936305629","5427.73266241123","5865.30190379844","6566.57282794654","7283.34263812006","8228.34804111345","8813.02946080293","9628.72196177826","10207.7675731705","10526.2591833762","10570.963733047","11259.2675137673","11658.9055171112","12078.8431361843","12770.9642910053","13498.1165268196","13998.0256546027","13412.0972804773","",
"Andorra","AND","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6741.88742387571","7299.4741934079","7697.24877456357","7893.38836510812","8083.36736281432","8218.49298193025","8550.96385241785","8872.23221836966","9268.00125599662","9389.97229916551","10028.8744051504","10196.6468756086","10170.8729320865","10555.9565743035","11579.9547847335","12300.7789619455","13091.0554262895","13694.7742387554","14409.4750172762","14253.9396935192","14749.5521849921","15211.0266008434","16130.5992496832","16083.8093998294","15777.0972221203","14167.9871457032","13701.1555971968","14214.6130165904","14652.088897273","14945.9353142189","14134.180257559","",
"United Arab Emirates","ARE","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","87172.0997343654","85793.717027168","85571.6646950159","83796.6296610541","86653.6639098623","89669.4370194534","91887.1902945412","96181.5560804029","92629.3565810728","91712.0214854007","98365.1573861082","96724.0651137829","95551.7276379628","99239.9601570956","101872.973588358","97671.629302072","95679.8575342087","87102.97188999","79732.2434989502","68167.5758770941","64882.8503411842","67686.3853798798","69102.4761704654","70374.2353627555","73619.0446557068","64901.8800512352","63968.8880391711","67183.6053111678","68576.1155226865","71150.5421414274","66771.4997535294","",
"Argentina","ARG","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7191.10509033023","8000.36230985365","8713.54576407406","9526.91334664213","10168.750177921","9963.36090231541","10579.4772698476","11507.8954146611","11949.4186592024","11581.8905140722","11618.7932334926","11226.8797464943","10052.4882560869","11025.1860988296","12214.7407113551","13568.7692061284","14951.7289508076","16570.0078336983","17404.0691420333","16334.7408131075","18061.9343589164","19322.2271236942","19641.3528638347","20131.6804246983","19683.7715056442","20105.1989918165","20307.870052142","23597.117752839","23293.3986337639","22999.2750525577","20770.7264196415","",
