date,,2021-09-25_FY,2020-09-26_FY,2019-09-28_FY,2018-09-29_FY,2017-09-30_FY,2016-09-24_FY,2015-09-26_FY,2014-09-27_FY,2013-09-28_FY,2012-09-29_FY,2011-09-24_FY,2010-09-25_FY,2009-09-26_FY,2008-09-27_FY,2007-09-29_FY,2006-09-30_FY,2005-09-24_FY,2004-09-25_FY,2003-09-27_FY,2002-09-28_FY,2001-09-29_FY,2000-09-30_FY,1999-09-25_FY,1998-09-25_FY,1997-09-26_FY,1996-09-27_FY,1995-09-29_FY,1994-09-30_FY,1993-09-30_FY,1992-09-30_FY,1991-09-30_FY,1990-09-30_FY,1989-09-30_FY,1988-09-30_FY,1987-09-30_FY,1986-09-30_FY,1985-09-30_FY
,revenue,365817000000.0,274515000000.0,260174000000.0,265595000000.0,229234000000.0,215639000000.0,233715000000.0,182795000000.0,170910000000.0,156508000000.0,108249000000.0,65225000000.0,36537000000.0,32479000000.0,24006000000.0,19315000000.0,13931000000.0,8279000000.0,6207000000.0,5742000000.0,5363000000.0,7983000000.0,6134000000.0,5941000000.0,7081000000.0,9833000000.0,11062000000.0,9188748000.0,7977000000.0,7086500000.0,6308800000.0,5558400000.0,5284000000.0,4071400000.0,2661100000.0,1901900000.0,1918300000.0
,costOfRevenue,212981000000.0,169559000000.0,161782000000.0,163756000000.0,141048000000.0,131376000000.0,140089000000.0,112258000000.0,106606000000.0,87846000000.0,64431000000.0,39541000000.0,23397000000.0,21334000000.0,15852000000.0,13717000000.0,9888000000.0,6020000000.0,4499000000.0,4139000000.0,4128000000.0,5817000000.0,4438000000.0,4462000000.0,5713000000.0,8865000000.0,8204000000.0,6844915000.0,5082700000.0,3774200000.0,3109700000.0,2403500000.0,2570000000.0,1913200000.0,1225700000.0,840000000.0,1076000000.0
,grossProfit,152836000000.0,104956000000.0,98392000000.0,101839000000.0,88186000000.0,84263000000.0,93626000000.0,70537000000.0,64304000000.0,68662000000.0,43818000000.0,25684000000.0,13140000000.0,11145000000.0,8154000000.0,5598000000.0,4043000000.0,2259000000.0,1708000000.0,1603000000.0,1235000000.0,2166000000.0,1696000000.0,1479000000.0,1368000000.0,968000000.0,2858000000.0,2343833000.0,2894300000.0,3312300000.0,3199100000.0,3154900000.0,2714000000.0,2158200000.0,1435400000.0,1061900000.0,842300000.0
,grossProfitRatio,0.417793596251678,0.382332477278109,0.378177681090347,0.383437188200079,0.384698604918991,0.39075955648097,0.400599020174144,0.385880357777839,0.376244807208472,0.438712398088277,0.404788958789458,0.393775392870832,0.359635438049101,0.343144801256196,0.339665083729068,0.289826559668651,0.29021606489125,0.272859040946974,0.275173191557918,0.279171020550331,0.230281558829014,0.271326568959038,0.276491685686338,0.248947988554115,0.193193051828838,0.0984440150513577,0.258361959862593,0.255076426081116,0.362830638084493,0.467409863825584,0.507085341110829,0.567591393206678,0.513626040878123,0.530087930441617,0.539400999586637,0.558336400441664,0.439086691341292
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COST And EXPENSES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ResearchAndDevelopmentExpenses,21914000000.0,18752000000.0,16217000000.0,14236000000.0,11581000000.0,10045000000.0,8067000000.0,6041000000.0,4475000000.0,3381000000.0,2429000000.0,1782000000.0,1333000000.0,1109000000.0,782000000.0,712000000.0,534000000.0,489000000.0,471000000.0,447000000.0,441000000.0,380000000.0,314000000.0,310000000.0,860000000.0,604000000.0,614000000.0,564303000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,GeneralAndAdministrativeExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,SellingAndMarketingExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,166100000.0,217200000.0,204400000.0,202700000.0,124800000.0,77700000.0,70500000.0,51100000.0,41800000.0
